"","RSV","month","Year"
"1","206",2016-09-01,2016
"2","584",2016-10-01,2016
"3","2357",2016-11-01,2016
"4","4271",2016-12-01,2016
"5","1891",2017-01-01,2017
"6","607",2017-02-01,2017
"7","268",2017-03-01,2017
"8","388",2017-04-01,2017
"9","231",2017-05-01,2017
"10","168",2017-06-01,2017
"11","199",2017-07-01,2017
"12","160",2017-08-01,2017
"13","192",2017-09-01,2017
"14","837",2017-10-01,2017
"15","2463",2017-11-01,2017
"16","4450",2017-12-01,2017
"17","2145",2018-01-01,2018
"18","727",2018-02-01,2018
"19","440",2018-03-01,2018
"20","314",2018-04-01,2018
"21","118",2018-05-01,2018
"22","96",2018-06-01,2018
"23","103",2018-07-01,2018
"24","90",2018-08-01,2018
"25","146",2018-09-01,2018
"26","835",2018-10-01,2018
"27","3286",2018-11-01,2018
"28","5069",2018-12-01,2018
"29","2396",2019-01-01,2019
"30","876",2019-02-01,2019
"31","333",2019-03-01,2019
"32","151",2019-04-01,2019
"33","92",2019-05-01,2019
"34","41",2019-06-01,2019
"35","79",2019-07-01,2019
"36","65",2019-08-01,2019
"37","87",2019-09-01,2019
"38","518",2019-10-01,2019
"39","2793",2019-11-01,2019
"40","8778",2019-12-01,2019
"41","4669",2020-01-01,2020
"42","1231",2020-02-01,2020
"43","517",2020-03-01,2020
"44","99",2020-04-01,2020
"45","6",2020-05-01,2020
"46","8",2020-06-01,2020
"47","8",2020-07-01,2020
"48","5",2020-08-01,2020
"49","16",2020-09-01,2020
"50","780",2020-10-01,2020
"51","1326",2020-11-01,2020
"52","24",2020-12-01,2020
"53","3",2021-01-01,2020
"54","7",2021-01-01,2021
